codigo;descricao;porte;ch;co
41301013;Angiofluoresceinografia - monocular;;;
41206070;Simulação de braquiterapia - 1 por inserção;;;
41206061;Planejamento não-computadorizado de braquiterapia - 1 por inserção;;;
41206053;Planejamento computadorizado tridimensional de braquiterapia - 1 por inserção;;;
41206045;Planejamento computadorizado de braquiterapia - 1 por inserção;;;
41206037;Colocação ou retirada dos cateteres - 1 colocação e 1 retirada por inserção ;;;
41206029;Colocação ou retirada da placa oftálmica - 1 colocação e 1 retirada por tratamento;;;
41206010;Filme de verificação (cheque-filme) de braquiterapia - 2 por inserção - filme à parte ;;;
41205120;Braquiterapia por moldagem ou contato, de alta taxa de dose (BATD) - por inserção;;;
41205111;Braquiterapia por moldagem ou contato de baixa taxa de dose (BBTD) com ouro, irídio ou iodo - por tratamento;;;
41205103;Braquiterapia por moldagem ou contato de baixa taxa de dose (BBTD) com Césio - por inserção;;;
41205090;Braquiterapia oftálmica de baixa taxa de dose (BBTD) - por inserção;;;
41205081;Braquiterapia intracavitária de baixa taxa de dose (BBTD) com Césio - por inserção;;;
